name,type,condition,accuracy
kh00_corners,trial_corners_forced,41,0.8793103448275862
kh25_corners,trial_corners_forced,41,0.6826347305389222
kh26_corners,trial_corners_forced,41,0.7294117647058823
kh27_corners,trial_corners_forced,41,0.7037037037037037
kh28_corners,trial_corners_forced,41,0.7911392405063291
kh29_corners,trial_corners_forced,41,0.9308176100628931
kh30_corners,trial_corners_forced,41,0.8353658536585366
kh31_corners,trial_corners_forced,41,0.9019607843137255
kh33_corners,trial_corners_forced,41,0.8176470588235294
kh34_corners,trial_corners_forced,41,0.779874213836478
kh35_corners,trial_corners_forced,41,0.851063829787234
kh36_corners,trial_corners_forced,41,0.9116022099447514
kh37_corners,trial_corners_forced,41,0.7727272727272727
kh48_corners,trial_corners_forced,41,0.8525641025641025
kh49_corners,trial_corners_forced,41,0.7393939393939394
kh50_corners,trial_corners_forced,41,0.5266272189349113
kh51_corners,trial_corners_forced,41,0.6756756756756757
kh52_corners,trial_corners_forced,41,0.8128654970760234
laurilab,trial_corners_forced,41,0.8165680473372781
otto,trial_corners_forced,41,0.9302325581395349
Samuel,trial_corners_forced,41,0.8614457831325302
teemu,trial_corners_forced,41,0.7054794520547946
tero_eta,trial_corners_forced,41,0.8125
anni_cor,trial_corners_forced,24,0.7592592592592593
corners_kh38,trial_corners_forced,24,0.7790697674418605
corners_kh39,trial_corners_forced,24,0.815028901734104
corners_kh40,trial_corners_forced,24,0.8666666666666667
corners_kh41,trial_corners_forced,24,0.847953216374269
corners_kh42,trial_corners_forced,24,0.6748466257668712
corners_kh43,trial_corners_forced,24,0.7066666666666667
corners_kh44,trial_corners_forced,24,0.774390243902439
corners_kh45,trial_corners_forced,24,0.7861271676300579
corners_kh46,trial_corners_forced,24,0.7365591397849462
corners_kh47,trial_corners_forced,24,0.7662337662337663
corners_kh53,trial_corners_forced,24,0.6932515337423313
corners_kh54,trial_corners_forced,24,0.7823529411764706
kh00_corners,trial_corners_forced,24,0.8603351955307262
kh25_corners,trial_corners_forced,24,0.7455621301775148
kh26_corners,trial_corners_forced,24,0.7868852459016393
kh27_corners,trial_corners_forced,24,0.6826347305389222
kh28_corners,trial_corners_forced,24,0.8224852071005917
kh29_corners,trial_corners_forced,24,0.891566265060241
kh30_corners,trial_corners_forced,24,0.746031746031746
kh31_corners,trial_corners_forced,24,0.848314606741573
kh33_corners,trial_corners_forced,24,0.8115183246073299
kh34_corners,trial_corners_forced,24,0.7602339181286549
kh35_corners,trial_corners_forced,24,0.7865168539325843
kh36_corners,trial_corners_forced,24,0.8053691275167785
kh37_corners,trial_corners_forced,24,0.8192771084337349
kh48_corners,trial_corners_forced,24,0.8098159509202454
kh49_corners,trial_corners_forced,24,0.6914893617021277
kh50_corners,trial_corners_forced,24,0.5815602836879432
kh51_corners,trial_corners_forced,24,0.6851851851851852
kh52_corners,trial_corners_forced,24,0.8301886792452831
laurilab,trial_corners_forced,24,0.7621951219512195
otto,trial_corners_forced,24,0.8367346938775511
Samuel,trial_corners_forced,24,0.8588957055214724
teemu,trial_corners_forced,24,0.6903225806451613
tero_eta,trial_corners_forced,24,0.8451612903225807
anni_cor,trial_corners_forced,13,0.7844311377245509
corners_kh38,trial_corners_forced,13,0.8117647058823529
corners_kh39,trial_corners_forced,13,0.8431372549019608
corners_kh40,trial_corners_forced,13,0.9234972677595629
corners_kh41,trial_corners_forced,13,0.79375
corners_kh42,trial_corners_forced,13,0.625
corners_kh43,trial_corners_forced,13,0.7484662576687117
corners_kh44,trial_corners_forced,13,0.7904191616766467
corners_kh45,trial_corners_forced,13,0.7435897435897436
corners_kh46,trial_corners_forced,13,0.7530864197530864
corners_kh47,trial_corners_forced,13,0.7375
corners_kh53,trial_corners_forced,13,0.7542857142857143
corners_kh54,trial_corners_forced,13,0.7513513513513513
kh00_corners,trial_corners_forced,13,0.8245614035087719
kh25_corners,trial_corners_forced,13,0.768361581920904
kh26_corners,trial_corners_forced,13,0.7469879518072289
kh27_corners,trial_corners_forced,13,0.7401129943502824
kh28_corners,trial_corners_forced,13,0.863905325443787
